album_id,album_nome,album_tipo,data_lancamento,uri,artistas_nome,nr_musicas
3BwgvjyD1pDNyj1VLW0dBw,Wonderful,single,2024-05-17,spotify:album:3BwgvjyD1pDNyj1VLW0dBw,['2NjfBq1NflQcKSeiDooVjY'],3
00gOh6il0z2KBhwqWSu3iX,Dispose of Me,single,2024-05-16,spotify:album:00gOh6il0z2KBhwqWSu3iX,['5FxD8fkQZ6KcsSYupDVoSO'],2
5Nu3kt1PhXlhDalF9k9WPi,ME DIZ QUEM,single,2024-05-16,spotify:album:5Nu3kt1PhXlhDalF9k9WPi,"['0OmdmG9Z8MKODtlhzA3bei', '1a3fr7NdeBT4JlGj6YlbDL', '5tD6GvZxVpZxHRjSaQuj36']",1
3OdIO29zdJMI6P31H1YKwb,Perfil #95 - Muita Luta,single,2024-05-14,spotify:album:3OdIO29zdJMI6P31H1YKwb,"['09U6hmCerKcIJrixubiBjm', '2676LWh4GgqdAaYkRpqTcd', '3EEfGYBytM1QLAuP7z2Z4c']",1
38PLMVfQoaccn4ElJFbAXd,Pau na Gata,single,2024-05-17,spotify:album:38PLMVfQoaccn4ElJFbAXd,"['04svf3dGgcwEVgJ0MlV0M2', '5xYkM2vMrE23taj6tl7qkm', '6p8UveMYUHymkyH4rXgpoJ', '0QTxqtxb1Ynangd0fpm3PM']",3
29yJzDLEMOjEqt1dLuet0V,Mega Pagofunk 2024,single,2024-05-17,spotify:album:29yJzDLEMOjEqt1dLuet0V,"['34BnNmWVguXa3CigvfHJHS', '6mKwmTMzDrye9elc8JWiw3', '3VU1prPpWqYhRlKS6FQNMR', '1mvpEXClANunyiHFtAXCxt', '54DpD2uxqh2jQtstvXxCag']",1
3eksBWsguoaZ5DmowEP8rz,MLK MONSTRO,single,2024-05-17,spotify:album:3eksBWsguoaZ5DmowEP8rz,"['6CAOElXrWvhb594GKitCch', '0PNcEYeVDBqbywI00Y3ANT', '0WvTL8PecsD3VxRGuHdSxj', '6TPJK8tv3AKKSsw0lENTQk']",1
2ljklh8htY6Xp7vhV6pQCj,Mendigando Amor (Remix),single,2024-05-17,spotify:album:2ljklh8htY6Xp7vhV6pQCj,"['2zWqENF4cnsd1nLmraG9IE', '5M1ILxS67JEzWguvzNakgE']",1
3k0ba7WIEs0SPxAqwuxn3Y,Beijo Malicioso,single,2024-05-16,spotify:album:3k0ba7WIEs0SPxAqwuxn3Y,['1b3ausgCrK4oN5Apv1GAhB'],1
3uKmuXlnA4wybpMFPqOu25,Cópia Nossa (Ao Vivo),single,2024-05-17,spotify:album:3uKmuXlnA4wybpMFPqOu25,"['0ROprJwPDQ1NleWURpFgFj', '1VNbx3ODDGNWiNeZaZW1EX']",1
