playlist_id,data_add,duracao,musica_id,musica_nome,popularidade,uri,album_id,artista_id
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,151384,378UJu7ZahkCCYXduY4vZY,Faroeste,38,spotify:track:378UJu7ZahkCCYXduY4vZY,0cNHgGexMhYEx7AltgWYH1,"['5hPHLE5ssifxHX5bhK8iXR', '2UMj7NCbuqy1yUZmiSYGjJ', '0j1Tuh5A6zWMI4nAjPjBsW', '6EErJIzXBBSWY7MkH3OaYY']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,223030,0kZMzrMqhdqbkpS76H4IWa,Menina,37,spotify:track:0kZMzrMqhdqbkpS76H4IWa,1LwvM5sLMX3w50dKitRzg1,"['49rYuhLNSc8WNdIw5CV0kT', '2fYAyTS2erZgqEHKHYqgi2', '7Lmrb6KcIzfkmgbtokjsAL', '4mZqYlVhIZJnJtbF39kDjj', '6r9jXjPwsd3OP4aCSfYRhW', '5cc7XCY3YdVmFDYw9LklMq', '0nzfP49X2nrzmmkwZf180L']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,99692,391W14a84cUzNFL2lOwvzZ,Toma Cuidado pra Não Se Apegar,33,spotify:track:391W14a84cUzNFL2lOwvzZ,6tWDy3FS2naau5PI4FnRey,"['0xXEI1dXDaCOmkIPNYtPWF', '4cdmVPqOs2GXPoP4qJHJXv', '6IcnhoOZCRfWT8viBrredL']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,134500,0AgluK6lXqHzjgTLkXMjlg,Língua dos Anjos,37,spotify:track:0AgluK6lXqHzjgTLkXMjlg,4o1zqfzFJCsgIstBtZXlx3,['4wh03gpwWgB5koOyZr8XxB']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,160000,5lgsS8jO4AVZnaM9j9IwgT,Eu Sinto Muito,28,spotify:track:5lgsS8jO4AVZnaM9j9IwgT,1dlUQFGqoBTZ5P2KO5ohgO,['0N8j1fdrTFzTCyzP4bGbSj']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,138796,56UFY8s74kaEkBSsFhSiJA,Doce Boy,29,spotify:track:56UFY8s74kaEkBSsFhSiJA,1BGmw1hnnwRV4NJ69wD4s9,['2AiR0VxXS1sbh2bSnVAKU0']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,226551,6rW3mLtDPEzJ00X3ubG6Mv,Little Foot Big Foot,50,spotify:track:6rW3mLtDPEzJ00X3ubG6Mv,4Ji5PWAFzyDcrN0wRukYZb,"['73sIBHcqh3Z3NyqHKZ7FOL', '5yPzzu25VzEk8qrGTLIrE1']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,226583,3Jm4XJix6nkGiY3IY8mPyu,Wonderful,52,spotify:track:3Jm4XJix6nkGiY3IY8mPyu,3BwgvjyD1pDNyj1VLW0dBw,['2NjfBq1NflQcKSeiDooVjY']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,217880,5tffEKZUyEbyThW6FH9VFS,Dispose of Me,62,spotify:track:5tffEKZUyEbyThW6FH9VFS,00gOh6il0z2KBhwqWSu3iX,['5FxD8fkQZ6KcsSYupDVoSO']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,264746,05sxyHW2Kc1iUE23LPLUPK,ME DIZ QUEM,35,spotify:track:05sxyHW2Kc1iUE23LPLUPK,5Nu3kt1PhXlhDalF9k9WPi,"['0OmdmG9Z8MKODtlhzA3bei', '1a3fr7NdeBT4JlGj6YlbDL', '5tD6GvZxVpZxHRjSaQuj36']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,183724,6lJ90Cs9Qr644OmLHgBkD2,Perfil #95 - Muita Luta,43,spotify:track:6lJ90Cs9Qr644OmLHgBkD2,3OdIO29zdJMI6P31H1YKwb,"['09U6hmCerKcIJrixubiBjm', '2676LWh4GgqdAaYkRpqTcd', '3EEfGYBytM1QLAuP7z2Z4c']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,136615,6D9Rva6sMB7gCaiM75XJVE,Pau na Gata,26,spotify:track:6D9Rva6sMB7gCaiM75XJVE,38PLMVfQoaccn4ElJFbAXd,"['04svf3dGgcwEVgJ0MlV0M2', '5xYkM2vMrE23taj6tl7qkm', '6p8UveMYUHymkyH4rXgpoJ', '0QTxqtxb1Ynangd0fpm3PM']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,137538,7vxR5LgbW7a8meQKe4LJKf,Mega Pagofunk 2024,41,spotify:track:7vxR5LgbW7a8meQKe4LJKf,29yJzDLEMOjEqt1dLuet0V,"['34BnNmWVguXa3CigvfHJHS', '6mKwmTMzDrye9elc8JWiw3', '3VU1prPpWqYhRlKS6FQNMR', '1mvpEXClANunyiHFtAXCxt', '54DpD2uxqh2jQtstvXxCag']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,120936,3bV84mm4scfSDw6AmALYfs,MLK MONSTRO,32,spotify:track:3bV84mm4scfSDw6AmALYfs,3eksBWsguoaZ5DmowEP8rz,"['6CAOElXrWvhb594GKitCch', '0PNcEYeVDBqbywI00Y3ANT', '0WvTL8PecsD3VxRGuHdSxj', '6TPJK8tv3AKKSsw0lENTQk']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,128154,22spPiS6d6wYxTzYHtxThX,Mendigando Amor,40,spotify:track:22spPiS6d6wYxTzYHtxThX,2ljklh8htY6Xp7vhV6pQCj,"['2zWqENF4cnsd1nLmraG9IE', '5M1ILxS67JEzWguvzNakgE']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,169615,2ayIfqNyypCYqM2kuulyBP,Beijo Malicioso,36,spotify:track:2ayIfqNyypCYqM2kuulyBP,3k0ba7WIEs0SPxAqwuxn3Y,['1b3ausgCrK4oN5Apv1GAhB']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,190485,7gYsE4TwARBayWbyRgAgF1,Cópia Nossa - Ao Vivo,37,spotify:track:7gYsE4TwARBayWbyRgAgF1,3uKmuXlnA4wybpMFPqOu25,"['0ROprJwPDQ1NleWURpFgFj', '1VNbx3ODDGNWiNeZaZW1EX']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,198467,2MBx6kZlD3NCwjgQiXkVss,Balançado Gostosin,39,spotify:track:2MBx6kZlD3NCwjgQiXkVss,21WztWOMbdgXAP5KPxCTh8,"['29OyPpZR54SPGzG4YmQ8gY', '3Xzuoddg3G2f1uMQgRU8uh']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,186277,3UxRvZWhEfSJmNDsbEjKOY,MIONCA,65,spotify:track:3UxRvZWhEfSJmNDsbEjKOY,3jjWzpGtGBUoMEDduwVvrB,"['1r4hJ1h58CWwUQe3MxPuau', '7GQDI5Vmxs92RsIRZzYT11']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,99850,47UuB6VMYtx9iIU99AbLet,APRENDER A AMAR,55,spotify:track:47UuB6VMYtx9iIU99AbLet,3xWnv7DudHRqaLOjFoyVcv,['3VHAySZQPlfGlNLslzXYpN']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,219346,3vkoTOfHvOGyVSK4PNpebV,Living Proof,57,spotify:track:3vkoTOfHvOGyVSK4PNpebV,033ib5SQJwXO1IXLPUXfuA,['58lV9VcRSjABbAbfWS6skp']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,151846,2D8Kx5gZC7xQDXhTBHXXxs,Não Me Atende,42,spotify:track:2D8Kx5gZC7xQDXhTBHXXxs,55eSfLlD9JaXeucxTGoTR9,"['15a4XZHhLX9jMVKnIUn79T', '7ngCAsErkhMSQ3Nce0QpYj']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,143436,0qeM6O58duqMyxTs8GYE8l,BALANCEI,25,spotify:track:0qeM6O58duqMyxTs8GYE8l,20eU0j8SXSc2mh2izxIvlb,"['6AntiZOHajTmgPhdLGKYNm', '590jgrhOiQjSIASrY4mwPW']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,226666,637yGvPCV8Fi1kl5GnoVuq,Party All The Time,40,spotify:track:637yGvPCV8Fi1kl5GnoVuq,3leEcSpfr1uqP5PXgmRbXI,"['2uGKgNuq7MnKksXiSO6HjB', '32kPQzj1rk4nnGIIJpIUic', '58wlWYajhaIloGV3GlPd9M']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,136874,0JPcvd0v324wxse9XhvT7a,Bad Boys,36,spotify:track:0JPcvd0v324wxse9XhvT7a,1h91E7DWJbcg7YVuCmXReC,"['3DnNQH13SfSOjZDsVEa0ht', '2K91we4sYTdu2m0nRdO940']"
